country,age,sex,MDS_x,MDS_y,tsne_x,tsne_y,scluster9,kmeans6
Japan,35-54 years,female,0.33145815713144805,4.216310059685931,31.616516,38.651356,6,0
Japan,35-54 years,male,8.404495867535964,4.143018967497311,61.97233,3.0273104,3,4
Japan,5-14 years,female,-4.202002883356392,3.980214324485786,27.09078,-13.619826,6,0
Japan,5-14 years,male,-4.1067748918576585,3.9892569684707766,27.091614,-13.6196995,6,0
Japan,55-74 years,female,1.4988725524980513,4.147111724873732,32.9687,37.828716,6,0
Japan,55-74 years,male,9.663690000187426,4.1073098916763655,61.731537,2.6589568,3,4
Japan,75+ years,female,3.6485476344208085,3.9946346768799623,34.053837,36.65449,6,4
Japan,75+ years,male,9.371132646874456,4.091143305406504,61.251774,2.2476723,3,4
Kazakhstan,15-24 years,female,-0.24273453510359222,-4.547312788486182,-33.683205,-20.978334,8,1
Kazakhstan,15-24 years,male,7.4569491984087035,-4.594310585969782,-14.467338,4.836239,8,3
Kazakhstan,25-34 years,female,-0.6808829762237605,-4.5500572756320965,-33.232594,-21.80319,8,1
Kazakhstan,25-34 years,male,14.648180458351128,-4.837901498605013,61.983753,-19.456354,2,2
Kazakhstan,35-54 years,female,-0.9101115623444246,-4.553428629867329,-32.731243,-22.908043,8,1
Kazakhstan,35-54 years,male,15.277418391912756,-4.757361127675012,60.722687,-20.211437,2,2
Kazakhstan,5-14 years,female,-3.166494245148309,-4.561263045132932,-1.8609813,-57.68588,8,1
Kazakhstan,5-14 years,male,-2.4056450565108687,-4.589113104554148,-7.362383,-54.097515,8,1
Kazakhstan,55-74 years,female,-0.5747860496277807,-4.607044100646948,-29.673023,-23.743223,8,1
Kazakhstan,55-74 years,male,13.994171617120443,-4.976395868049065,59.97718,-21.150295,2,2
Kazakhstan,75+ years,female,1.9201838242786085,-4.570239665601233,-40.84482,0.485882,8,3
Kazakhstan,75+ years,male,13.57516314986284,-4.720364685386912,62.3243,-20.66077,2,2
Kyrgyzstan,15-24 years,female,-1.9305846352988951,-5.591855332043074,-31.85926,-48.874096,8,1
Kyrgyzstan,15-24 years,male,0.8001019812165119,-5.601170403103443,-42.72594,-0.9410981,8,3
Kyrgyzstan,25-34 years,female,-2.3498120492215846,-5.582715028537473,-31.179934,-50.242615,8,1
Kyrgyzstan,25-34 years,male,3.053077906810681,-5.576969681219524,-41.81998,5.4139423,8,3
Kyrgyzstan,35-54 years,female,-2.1703572456922346,-5.579987964256244,-30.977283,-49.745277,8,1
Kyrgyzstan,35-54 years,male,4.233536521274418,-5.603702780713678,-41.67181,6.6929007,8,3
Kyrgyzstan,5-14 years,female,-3.2886647438914274,-5.5706357961960125,-22.70651,-62.317665,8,1
Kyrgyzstan,5-14 years,male,-2.8094938345251363,-5.5742425558500095,-22.196732,-60.960087,8,1
Kyrgyzstan,55-74 years,female,-1.998920002265024,-5.62679507613391,-30.08288,-49.66969,8,1
